Index,CHEMBL_ID,PUBCHEM_CID,IUPAC_Name,Original_SMILES,Original_InChi,Original_InChiKey,DSSTOX_SUBSTANCE_ID,CASRN,PREFERRED_NAME,Canonical_QSARr,InChI_Code_QSARr,InChIKey_QSARr,Salt_Solvent,Salt_Solvent_ID,QC_Level,CalculatedLogPapp,PappClass,Source,tr_tst,outliers
Caco-1588,CHEMBL525739,54728268,"N-[3-[4-hydroxy-1-(3-methylbutyl)-2-oxopyrrolo[1,2-b]pyridazin-3-yl]-1,1-dioxo-4H-1lambda6,4-benzothiazin-7-yl]-N-methylmethanesulfonamide  ",CC(C)CCN1C(=O)C(=C(O)c2cccn12)C3=CS(=O)(=O)c4cc(ccc4N3)N(C)S(=O)(=O)C,"InChI=1S/C22H26N4O6S2/c1-14(2)9-11-26-22(28)20(21(27)18-6-5-10-25(18)26)17-13-34(31,32)19-12-15(7-8-16(19)23-17)24(3)33(4,29)30/h5-8,10,12-14,23,27H,9,11H2,1-4H3",GJFKHZTVVWBWPS-UHFFFAOYSA-N,?,CHEMBL525739,"",CS(=O)(=O)N(C)C1C=C2C(=CC=1)N=C(CS2(=O)=O)C1C(=O)N(CCC(C)C)N2C=CC=C2C1=O,"InChI=1S/C22H26N4O6S2/c1-14(2)9-11-26-22(28)20(21(27)18-6-5-10-25(18)26)17-13-34(3132)19-12-15(7-8-16(19)23-17)24(3)33(429)30/h5-810121420H91113H21-4H3",CGWMKSDSXLMXMQ-UHFFFAOYSA-N,<undefined>,0,Low,-7.920818754,1,CHEMBL,1,1
Caco-1589,CHEMBL456132,54728263,"N-[3-[5-hydroxy-2-(3-methylbutyl)-3-oxo-6-phenylpyridazin-4-yl]-1,1-dioxo-4H-1lambda6,4-benzothiazin-7-yl]methanesulfonamide  ",CC(C)CCN1N=C(C(=C(C2=CS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2)C1=O)O)c4ccccc4,"InChI=1S/C24H26N4O6S2/c1-15(2)11-12-28-24(30)21(23(29)22(26-28)16-7-5-4-6-8-16)19-14-36(33,34)20-13-17(27-35(3,31)32)9-10-18(20)25-19/h4-10,13-15,25,27,29H,11-12H2,1-3H3",PQKZAMZNEBXXRF-UHFFFAOYSA-N,?,CHEMBL456132,"",CS(=O)(=O)NC1C=C2C(=CC=1)N=C(CS2(=O)=O)C1C(=O)N(CCC(C)C)N=C(C2C=CC=CC=2)C1=O,"InChI=1S/C24H26N4O6S2/c1-15(2)11-12-28-24(30)21(23(29)22(26-28)16-7-5-4-6-8-16)19-14-36(3334)20-13-17(27-35(331)32)9-10-18(20)25-19/h4-1013152127H11-1214H21-3H3",PFQXNGQADSVDKW-UHFFFAOYSA-N,<undefined>,0,Low,-7.721246399,1,CHEMBL,1,1
Caco-1595,CHEMBL565324,45102806,"(2S)-2-[[2-(2,1,3-benzothiadiazol-4-ylsulfonylamino)-4,5-dichlorobenzoyl]amino]-3-(3-bromo-4-fluorophenyl)propanoic acid ",OC(=O)[C@H](Cc1ccc(F)c(Br)c1)NC(=O)c2cc(Cl)c(Cl)cc2NS(=O)(=O)c3cccc4nsnc34,"InChI=1S/C22H14BrCl2FN4O5S2/c23-12-6-10(4-5-15(12)26)7-18(22(32)33)27-21(31)11-8-13(24)14(25)9-17(11)30-37(34,35)19-3-1-2-16-20(19)29-36-28-16/h1-6,8-9,18,30H,7H2,(H,27,31)(H,32,33)/t18-/m0/s1",HZXXERMOALHIDU-SFHVURJKSA-N,?,CHEMBL565324,"",OC(=O)C(CC1C=C(Br)C(F)=CC=1)NC(=O)C1=CC(Cl)=C(Cl)C=C1NS(=O)(=O)C1=CC=CC2=NSN=C21,"InChI=1S/C22H14BrCl2FN4O5S2/c23-12-6-10(4-5-15(12)26)7-18(22(32)33)27-21(31)11-8-13(24)14(25)9-17(11)30-37(3435)19-3-1-2-16-20(19)29-36-28-16/h1-68-91830H7H2(H2731)(H3233)",HZXXERMOALHIDU-UHFFFAOYSA-N,<undefined>,0,Low,-7.698970004,1,CHEMBL,1,1
Caco-1590,CHEMBL272548,44454658,"2,6-dichloro-N-[(1S)-2-[4-(5-methoxy-2-methyl-3-oxopyridazin-4-yl)phenyl]-1-(2H-tetrazol-5-yl)ethyl]benzamide  ",COC1=C(C(=O)N(C)N=C1)c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)c4nnn[nH]4)cc2,"InChI=1S/C22H19Cl2N7O3/c1-31-22(33)18(17(34-2)11-25-31)13-8-6-12(7-9-13)10-16(20-27-29-30-28-20)26-21(32)19-14(23)4-3-5-15(19)24/h3-9,11,16H,10H2,1-2H3,(H,26,32)(H,27,28,29,30)/t16-/m0/s1",FOUDHXTZQKEKBC-INIZCTEOSA-N,?,CHEMBL272548,"",COC1C=NN(C)C(=O)C=1C1C=CC(CC(NC(=O)C2C(Cl)=CC=CC=2Cl)C2NN=NN=2)=CC=1,"InChI=1S/C22H19Cl2N7O3/c1-31-22(33)18(17(34-2)11-25-31)13-8-6-12(7-9-13)10-16(20-27-29-30-28-20)26-21(32)19-14(23)4-3-5-15(19)24/h3-91116H10H21-2H3(H2632)(H27282930)",FOUDHXTZQKEKBC-UHFFFAOYSA-N,<undefined>,0,Low,-7.698970004,1,CHEMBL,1,0
Caco-1592,CHEMBL3104389,24983658,"N-benzyl-4-methyl-2-(2-oxo-4-phenylmethoxypyridin-1-yl)-1,3-thiazole-5-carboxamide  ",Cc1nc(sc1C(=O)NCc2ccccc2)N3C=CC(=CC3=O)OCc4ccccc4,"InChI=1S/C24H21N3O3S/c1-17-22(23(29)25-15-18-8-4-2-5-9-18)31-24(26-17)27-13-12-20(14-21(27)28)30-16-19-10-6-3-7-11-19/h2-14H,15-16H2,1H3,(H,25,29)",DIPVPFWFBPWNMR-UHFFFAOYSA-N,?,CHEMBL3104389,"",CC1N=C(SC=1C(=O)NCC1C=CC=CC=1)N1C=CC(=CC1=O)OCC1C=CC=CC=1,"InChI=1S/C24H21N3O3S/c1-17-22(23(29)25-15-18-8-4-2-5-9-18)31-24(26-17)27-13-12-20(14-21(27)28)30-16-19-10-6-3-7-11-19/h2-14H15-16H21H3(H2529)",DIPVPFWFBPWNMR-UHFFFAOYSA-N,<undefined>,0,Low,-7.698970004,1,CHEMBL,1,0
Caco-1596,CHEMBL478019,135923018,"N-[3-[5-hydroxy-2-(3-methylbutyl)-6-morpholin-4-yl-3-oxopyridazin-4-yl]-1,1-dioxo-4H-1lambda6,2,4-benzothiadiazin-7-yl]methanesulfonamide  ",CC(C)CCN1N=C(N2CCOCC2)C(=C(C1=O)C3=NS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3)O,"InChI=1S/C21H28N6O7S2/c1-13(2)6-7-27-21(29)17(18(28)20(23-27)26-8-10-34-11-9-26)19-22-15-5-4-14(24-35(3,30)31)12-16(15)36(32,33)25-19/h4-5,12-13,24,28H,6-11H2,1-3H3,(H,22,25)",CSQSOLBGPHWFDY-UHFFFAOYSA-N,?,CHEMBL478019,"",CS(=O)(=O)NC1C=C2C(=CC=1)NC(=NS2(=O)=O)C1C(=O)N(CCC(C)C)N=C(C1=O)N1CCOCC1,"InChI=1S/C21H28N6O7S2/c1-13(2)6-7-27-21(29)17(18(28)20(23-27)26-8-10-34-11-9-26)19-22-15-5-4-14(24-35(330)31)12-16(15)36(3233)25-19/h4-512-131724H6-11H21-3H3(H2225)",MRZZUKWOODSDIP-UHFFFAOYSA-N,<undefined>,0,Low,-7.677780705,1,CHEMBL,1,0
Caco-1597,CHEMBL401825,135566425,"N-[3-[5-hydroxy-2-(3-methylbutyl)-3-oxo-6-thiophen-2-ylpyridazin-4-yl]-1,1-dioxo-4H-1lambda6,2,4-benzothiadiazin-7-yl]methanesulfonamide  ",CC(C)CCN1N=C(C(=C(C1=O)C2=Nc3ccc(NS(=O)(=O)C)cc3S(=O)(=O)N2)O)c4cccs4,"InChI=1S/C21H23N5O6S3/c1-12(2)8-9-26-21(28)17(19(27)18(23-26)15-5-4-10-33-15)20-22-14-7-6-13(24-34(3,29)30)11-16(14)35(31,32)25-20/h4-7,10-12,24,27H,8-9H2,1-3H3,(H,22,25)",UNKTYNIAIAATDF-UHFFFAOYSA-N,?,CHEMBL401825,"",CS(=O)(=O)NC1C=CC2N=C(NS(=O)(=O)C=2C=1)C1C(=O)C(=NN(CCC(C)C)C1=O)C1=CC=CS1,"InChI=1S/C21H23N5O6S3/c1-12(2)8-9-26-21(28)17(19(27)18(23-26)15-5-4-10-33-15)20-22-14-7-6-13(24-34(329)30)11-16(14)35(3132)25-20/h4-710-121724H8-9H21-3H3(H2225)",LAYKRRDTZUSRBM-UHFFFAOYSA-N,<undefined>,0,Low,-7.673664139,1,CHEMBL,1,1
Caco-1598,CHEMBL2204112,66816803,"methyl 3-[[4-(2-hydroxyethylcarbamoyl)phenyl]methyl]-7-methyl-4-oxo-1-phenyl-1,8-naphthyridine-2-carboxylate ",COC(=O)C1=C(Cc2ccc(cc2)C(=O)NCCO)C(=O)c3ccc(C)nc3N1c4ccccc4,"InChI=1S/C27H25N3O5/c1-17-8-13-21-24(32)22(16-18-9-11-19(12-10-18)26(33)28-14-15-31)23(27(34)35-2)30(25(21)29-17)20-6-4-3-5-7-20/h3-13,31H,14-16H2,1-2H3,(H,28,33)",AIPARAKSAHWEMY-UHFFFAOYSA-N,?,CHEMBL2204112,"",CC1=CC=C2C(=N1)N(C(=C(CC1C=CC(=CC=1)C(=O)NCCO)C2=O)C(=O)OC)C1C=CC=CC=1,"InChI=1S/C27H25N3O5/c1-17-8-13-21-24(32)22(16-18-9-11-19(12-10-18)26(33)28-14-15-31)23(27(34)35-2)30(25(21)29-17)20-6-4-3-5-7-20/h3-1331H14-16H21-2H3(H2833)",AIPARAKSAHWEMY-UHFFFAOYSA-N,<undefined>,0,Low,-7.664207891,1,CHEMBL,1,1
Caco-1600,CHEMBL397682,?,"",CC(C)[C@@H](C[C@@H](C)C(=O)N[C@@H](C)C[C@H](CCC)C(O)=O)NC(=O)[C@H](C[C@@H](C)N)CC1=CC=CC=C1,"InChI=1S/C28H47N3O4/c1-7-11-23(28(34)35)16-21(6)30-26(32)19(4)14-25(18(2)3)31-27(33)24(15-20(5)29)17-22-12-9-8-10-13-22/h8-10,12-13,18-21,23-25H,7,11,14-17,29H2,1-6H3,(H,30,32)(H,31,33)(H,34,35)/t19-,20-,21+,23+,24-,25-/m1/s1",VXQOLTNSVAYNBJ-GCZFGYHLSA-N,DTXSID601101988,1258277-13-2,"Pentanoic acid, 4-[[(2R,4R)-4-[[(2S,4R)-4-amino-1-oxo-2-(phenylmethyl)pentyl]amino]-2,5-dimethyl-1-oxohexyl]amino]-2-propyl-, (2S,4S)-",CC(C)C(CC(C)C(=O)NC(C)CC(CCC)C(O)=O)NC(=O)C(CC(C)N)CC1=CC=CC=C1,"InChI=1S/C28H47N3O4/c1-7-11-23(28(34)35)16-21(6)30-26(32)19(4)14-25(18(2)3)31-27(33)24(15-20(5)29)17-22-12-9-8-10-13-22/h8-10,12-13,18-21,23-25H,7,11,14-17,29H2,1-6H3,(H,30,32)(H,31,33)(H,34,35)",VXQOLTNSVAYNBJ-UHFFFAOYSA-N,<undefined>,NaN,High,-7.568636236,1,CHEMBL,1,1
Caco-1601,CHEMBL524461,54728267,"N-[3-[4-hydroxy-1-(3-methylbutyl)-2-oxopyrrolo[1,2-b]pyridazin-3-yl]-1,1-dioxo-4H-1lambda6,4-benzothiazin-7-yl]methanesulfonamide  ",CC(C)CCN1C(=O)C(=C(O)c2cccn12)C3=CS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3,"InChI=1S/C21H24N4O6S2/c1-13(2)8-10-25-21(27)19(20(26)17-5-4-9-24(17)25)16-12-33(30,31)18-11-14(23-32(3,28)29)6-7-15(18)22-16/h4-7,9,11-13,22-23,26H,8,10H2,1-3H3",LLRZXFYVJFNKSK-UHFFFAOYSA-N,?,CHEMBL524461,"",CS(=O)(=O)NC1C=C2C(=CC=1)N=C(CS2(=O)=O)C1C(=O)N(CCC(C)C)N2C=CC=C2C1=O,"InChI=1S/C21H24N4O6S2/c1-13(2)8-10-25-21(27)19(20(26)17-5-4-9-24(17)25)16-12-33(3031)18-11-14(23-32(328)29)6-7-15(18)22-16/h4-7911131923H81012H21-3H3",UZCHAQIFZZTABD-UHFFFAOYSA-N,<undefined>,0,Low,-7.568636236,1,CHEMBL,1,1
Caco-1609,CHEMBL256945,136036589,"N-[3-[6-(cyclopenten-1-yl)-2-(3,3-dimethylbutyl)-5-hydroxy-3-oxopyridazin-4-yl]-1,1-dioxo-4H-1lambda6,2,4-benzothiadiazin-7-yl]methanesulfonamide  ",CC(C)(C)CCN1N=C(C(=C(C1=O)C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2)O)C4=CCCC4,"InChI=1S/C23H29N5O6S2/c1-23(2,3)11-12-28-22(30)18(20(29)19(25-28)14-7-5-6-8-14)21-24-16-10-9-15(26-35(4,31)32)13-17(16)36(33,34)27-21/h7,9-10,13,26,29H,5-6,8,11-12H2,1-4H3,(H,24,27)",RWNCIIKAMWVKLG-UHFFFAOYSA-N,?,CHEMBL256945,"",CS(=O)(=O)NC1=CC=C2NC(=NS(=O)(=O)C2=C1)C1C(=O)C(=NN(CCC(C)(C)C)C1=O)C1CCCC=1,"InChI=1S/C23H29N5O6S2/c1-23(23)11-12-28-22(30)18(20(29)19(25-28)14-7-5-6-8-14)21-24-16-10-9-15(26-35(431)32)13-17(16)36(3334)27-21/h79-10131826H5-6811-12H21-4H3(H2427)",VKLUTGKSJSCGMM-UHFFFAOYSA-N,<undefined>,0,Low,-7.522878745,1,CHEMBL,1,0
Caco-1602,CHEMBL216747,11974939,"4-[4-[(2-ethyl-5,7-dimethylimidazo[4,5-b]pyridin-3-yl)methyl]phenyl]-2-methyl-1-oxoisoquinoline-3-carboxylic acid ",CCc1nc2c(C)cc(C)nc2n1Cc3ccc(cc3)C4=C(N(C)C(=O)c5ccccc45)C(=O)O,"InChI=1S/C28H26N4O3/c1-5-22-30-24-16(2)14-17(3)29-26(24)32(22)15-18-10-12-19(13-11-18)23-20-8-6-7-9-21(20)27(33)31(4)25(23)28(34)35/h6-14H,5,15H2,1-4H3,(H,34,35)",UUTPXLIURPXEIR-UHFFFAOYSA-N,?,CHEMBL216747,"",CN1C(C(O)=O)=C(C2=CC=CC=C2C1=O)C1C=CC(CN2C(CC)=NC3C2=NC(C)=CC=3C)=CC=1,"InChI=1S/C28H26N4O3/c1-5-22-30-24-16(2)14-17(3)29-26(24)32(22)15-18-10-12-19(13-11-18)23-20-8-6-7-9-21(20)27(33)31(4)25(23)28(34)35/h6-14H515H21-4H3(H3435)",UUTPXLIURPXEIR-UHFFFAOYSA-N,<undefined>,0,Low,-7.522878745,1,CHEMBL,1,1
